Date,7exp
2001/9/20,1551.825624
2001/10/20,1554.687886
1/13/20,1550.969039
1/14/20,1546.145024
1/15/20,1550.062249
1/16/20,1555.637234
1/17/20,1558.700354
1/20/20,1561.261085
1/21/20,1552.36808
1/22/20,1557.993176
1/23/20,1564.020094
1/24/20,1565.425352
1/27/20,1581.298124
1/28/20,1575.16815
1/29/20,1574.614211
1/30/20,1579.43528
1/31/20,1585.411669
2002/3/20,1575.9162
2002/4/20,1559.438475
2002/5/20,1554.363721
2002/6/20,1564.408943
2002/7/20,1573.801044
2002/10/20,1574.35226
2002/11/20,1571.638426
2002/12/20,1564.805665
2/13/20,1576.206813
2/14/20,1582.584775
2/17/20,1581.980645
2/18/20,1591.070944
2/19/20,1605.485517
2/20/20,1620.352009
2/21/20,1644.761927
2/24/20,1678.419806
2/25/20,1651.790618
2/26/20,1635.468994
2/27/20,1653.494977
2/28/20,1611.151026
2003/2/20,1600.903075
2003/3/20,1616.823777
2003/4/20,1644.233076
2003/5/20,1660.86996
2003/6/20,1687.042682
2003/9/20,1672.610914
2003/10/20,1657.518097
2003/11/20,1654.919766
2003/12/20,1566.723179
3/13/20,1563.345523
3/16/20,1479.562595
3/17/20,1535.721908
3/18/20,1501.735561
3/19/20,1468.863229
3/20/20,1495.161435
3/23/20,1527.818567
3/24/20,1620.517633
3/25/20,1612.698422
3/26/20,1638.050348
3/27/20,1613.047043
3/30/20,1612.538247
3/31/20,1606.141007
2004/1/20,1572.290535
2004/2/20,1616.67712
2004/3/20,1645.284375
2004/6/20,1664.25596
2004/7/20,1664.692728
2004/8/20,1641.883751
2004/9/20,1682.126654
4/14/20,1756.742432
4/15/20,1724.119761
4/16/20,1728.271283
4/17/20,1670.836206
4/20/20,1685.699622
4/21/20,1691.432935
4/22/20,1741.775988
4/23/20,1759.904335
4/24/20,1717.281995
4/27/20,1711.129717
4/28/20,1689.235631
4/29/20,1704.970069
4/30/20,1706.403692
2005/1/20,1686.348323
2005/4/20,1710.559107
2005/5/20,1703.536364
2005/6/20,1691.024794
2005/7/20,1705.035996
2005/11/20,1707.165422
2005/12/20,1702.568982
5/13/20,1708.477214
5/14/20,1735.021802
5/15/20,1734.795895
5/18/20,1732.948211
5/19/20,1734.342975
5/20/20,1751.77462
5/21/20,1725.565787
5/22/20,1737.766978
5/26/20,1726.879388
5/27/20,1701.274571
5/28/20,1725.3181
5/29/20,1739.452758
2006/1/20,1733.916607
2006/2/20,1742.887728
2006/3/20,1705.10189
2006/4/20,1699.57316
2006/5/20,1689.478174
2006/8/20,1697.00386
2006/9/20,1720.240547
2006/10/20,1728.221901
2006/11/20,1738.47683
2006/12/20,1731.611875
6/15/20,1706.651403
6/16/20,1719.198868
6/17/20,1728.128169
6/18/20,1722.336669
6/19/20,1735.200019
6/22/20,1764.05358
6/23/20,1767.561436
6/24/20,1761.036557
6/25/20,1753.820208
6/26/20,1746.408886
6/29/20,1773.093187
6/30/20,1771.055606
2007/1/20,1769.775495
2007/2/20,1776.582641
2007/3/20,1772.468304
2007/6/20,1785.638283
2007/7/20,1790.698307
2007/8/20,1809.67114
2007/9/20,1810.709576
2007/10/20,1800.525393
7/13/20,1804.362674
7/14/20,1803.869139
7/15/20,1804.361201
7/16/20,1810.769965
7/17/20,1808.224968
7/20/20,1816.196902
7/21/20,1844.668365
7/22/20,1851.943571
7/23/20,1874.7956
7/24/20,1896.103469
7/27/20,1931.516057
7/28/20,1933.4794
7/29/20,1944.547528
7/30/20,1950.721225
7/31/20,1964.451864
2008/3/20,1957.516172
2008/4/20,1984.473611
2008/5/20,2060.281366
2008/6/20,2078.767821
2008/7/20,2025.370298
2008/10/20,2036.791361
2008/11/20,1930.234712
2008/12/20,1925.026957
8/13/20,1959.099006
8/14/20,1964.458396
8/17/20,1972.777281
8/18/20,2013.261408
8/19/20,1970.782457
8/20/20,1927.129793
8/21/20,1930.111175
8/24/20,1958.472435
8/25/20,1913.957577
8/26/20,1927.367852
8/27/20,1915.373138
8/28/20,1956.2574
2009/1/20,1975.566491
2009/2/20,1945.692463
2009/3/20,1937.911768
2009/4/20,1923.797473
2009/7/20,1936.017854
2009/8/20,1914.462464
2009/9/20,1950.50666
2009/10/20,1963.831506
2009/11/20,1945.989879
9/14/20,1948.68691
9/15/20,1950.32279
9/16/20,1962.746166
9/17/20,1940.334685
9/18/20,1949.94366
9/21/20,1910.687467
9/22/20,1912.994739
